ID,Título,Autor,Categorías,Fecha,Hora,Vistas,Topico_Final,solo_fecha,dia_semana_es
10294,Un pálido Boca no pudo superar a Platense y sigue sin recuperarse,Francis Dinatale,"DEPORTES, DESTACADAS",2026-02-16,00:58:28,2,Deportes,2026-02-16,Lunes
10289,Francisco Cerúndolo venció a Luciano Darderi y es campeón del Argentina Open 2026,Francis Dinatale,"DEPORTES, DESTACADAS",2026-02-15,23:40:09,2,Deportes,2026-02-15,Domingo
10286,Paro general contra la Reforma Laboral: lunes clave,Francis Dinatale,"DESTACADAS, POLITICA",2026-02-15,23:30:10,3,Política,2026-02-15,Domingo
10283,Marcha atrás en la Reforma Laboral: Patricia Bullrich anticipó cambios en las licencias por enfermerdad,Francis Dinatale,Sin Categoria,2026-02-15,23:27:01,3,Política,2026-02-15,Domingo
10279,Diputados denunciaron penalmente a Caputo por manipulación del INDEC y lesiva injerencia en los números oficiales,Francis Dinatale,"DESTACADAS, POLITICA",2026-02-15,12:47:28,4,Política,2026-02-15,Domingo
10275,Con un golazo del &#8220;Mudo&#8221; Vásquez Belgrano ganó en Mendoza,Francis Dinatale,"DEPORTES, DESTACADAS",2026-02-15,12:35:35,2,Deportes,2026-02-15,Domingo
10272,Valentín Dávila fue el héroe inesperado de Talleres de Córdoba ante Gimnasia de Mendoza,Francis Dinatale,"DEPORTES, DESTACADAS",2026-02-15,12:25:52,2,Deportes,2026-02-15,Domingo
10269,Gimnasia y Estudiantes de La Plata se verán lascaras en el clásico,Francis Dinatale,"DEPORTES, DESTACADAS",2026-02-15,12:20:29,3,Deportes,2026-02-15,Domingo
10266,Boca vs. Platense por el Torneo Apertura,Francis Dinatale,"DEPORTES, DESTACADAS",2026-02-15,12:16:04,2,Deportes,2026-02-15,Domingo
10263,La CGT contra la Reforma laboral: &#8220;Están dadas las condiciones para ir a un paro general&#8221;,Francis Dinatale,"DESTACADAS, NACIONALES, POLITICA",2026-02-15,12:08:27,2,Política,2026-02-15,Domingo
10259,Cómo votó cada bloque la media sanción en Diputados del Régimen Penal Juvenil,Francis Dinatale,"DESTACADAS, POLITICA",2026-02-13,09:33:49,3,Política,2026-02-13,Viernes
10254,Argentinos le dió otro cachetazo a River y agudizó su crisis,Francis Dinatale,"DEPORTES, DESTACADAS",2026-02-13,09:05:12,1,Deportes,2026-02-13,Viernes
10251,Diputados dio media sanción a la Reforma Penal Juvenil y al acuerdo Mercosur-UE,Francis Dinatale,"DESTACADAS, POLITICA",2026-02-13,08:56:48,3,Política,2026-02-13,Viernes
10248,Bajo las estrellas: Santa Rosa de Calamuchita se prepara para su tradicional Vía Crucis Nocturno,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-02-13,06:55:49,6,Eventos locales,2026-02-13,Viernes
10245,Embalse garantiza el acceso bancario: lanzan transporte gratuito para vecinos de La Cruz,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-02-13,06:52:35,6,Precios y costo de vida,2026-02-13,Viernes
10242,Villa Ciudad Parque se despide del verano con dos fines de semana a puro festejo,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-02-13,06:45:45,9,Eventos locales,2026-02-13,Viernes
10237,Reforma Laboral: Sturzenegger confirmó que se cobrará 75% del sueldo por enfermedad y 50% por lesiones,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, POLITICA, TITULARES",2026-02-12,09:55:04,6,Política,2026-02-12,Jueves
10234,El Gobierno logró aprobar una reforma laboral que debilita el histórico modelo sindical,Francis Dinatale,"DESTACADAS, POLITICA, Sin Categoria",2026-02-12,09:37:37,3,Política,2026-02-12,Jueves
10231,Las Bajadas se viste de fiesta: este sábado llegan los Carnavales 2026,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-02-12,07:14:01,12,Eventos y Comunidad,2026-02-12,Jueves
10228,La Cumbrecita se viste de fiesta: llega la &#8220;Noche de Carnaval&#8221; al corazón de las sierras,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-02-12,07:07:01,7,Eventos locales,2026-02-12,Jueves
10225,Tensión en la peatonal de Santa Rosa: fuerte cruce entre un artista callejero y un comerciante,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-02-12,06:58:05,6,Otros,2026-02-12,Jueves
10221,Hubo acuerdo y se levantó la protesta poliial en Santa Fe,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, POLITICA",2026-02-11,22:21:24,6,Política,2026-02-11,Miércoles
10218,"Axel Kicillof rechazó la Reforma Laboral porque &#8220;el que va a decidir es el empleador, que tiene más fuerza&#8221;",Francis Dinatale,"DESTACADAS, NACIONALES, POLITICA",2026-02-11,22:15:06,2,Política,2026-02-11,Miércoles
10215,No hubo acuerdo y sigue la tensión con la Policía de Santa Fe,Francis Dinatale,"DESTACADAS, POLITICA",2026-02-11,08:51:47,3,Política,2026-02-11,Miércoles
10212,El Senado debate este miércoles la Reforma Laboral,Francis Dinatale,"DESTACADAS, POLITICA",2026-02-11,08:47:26,3,Política,2026-02-11,Miércoles
10209,Los Reartes se prepara para una &#8220;Velada Criolla&#8221; a puro ritmo y tradición,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-02-11,06:48:31,9,Eventos locales,2026-02-11,Miércoles
10206,Los Reartes: nueva capacitación obligatoria sobre manipulación segura de alimentos,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-02-11,06:43:46,6,Salud,2026-02-11,Miércoles
10203,Embalse se prepara para el «Sunset del Lago»: Una cita imperdible con el Chaqueño Palavecino y La Pepa Brizuela,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-02-11,06:36:57,19,Eventos locales,2026-02-11,Miércoles
10200,"Indec: la última inflación de la era Marco Lavagna fue de un polémico 2,9%",Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, POLITICA",2026-02-10,22:39:53,6,Política,2026-02-10,Martes
10197,Se estancó el pase de Edwin Cetré a Boca por diferencias en los criterios médicos,Francis Dinatale,"DEPORTES, DESTACADAS",2026-02-10,22:19:46,2,Deportes,2026-02-10,Martes
10194,Colombia: el presidente Gustavo Petro denunció que fue blanco de un intento de asesinato,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, INTERNACIONALES, POLITICA",2026-02-10,22:14:49,3,Internacional,2026-02-10,Martes
10191,Los Reartes: últimos días para acceder al pago anual anticipado con importantes beneficios,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-02-10,06:41:27,7,Eventos locales,2026-02-10,Martes
10188,Vínculos que se fortalecen: La Cónsul General de Suiza visitó La Cumbrecita,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-02-10,06:32:03,7,Otros,2026-02-10,Martes
