ID,Título,Autor,Categorías,Fecha,Hora,Vistas,Topico_Final,solo_fecha,dia_semana_es
8505,Córdoba se prepara para un “finde largo”,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL",2025-11-21,09:35:22,7,Otros,2025-11-21,Viernes
8502,AFA anunció cómo se va a jugar la Liga Profesional en 2026,Francis Dinatale,"DEPORTES, DESTACADAS",2025-11-21,09:09:23,4,Deportes,2025-11-21,Viernes
8499,Se cayó el préstamo de USD 20 mil millones del JP Morgan,Francis Dinatale,"DESTACADAS, POLITICA",2025-11-21,09:04:20,4,Política,2025-11-21,Viernes
8496,Bancos estadounidenses suspenden el rescate prometido a Javier Milei: qué pasó,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, POLITICA",2025-11-21,08:58:20,5,Política,2025-11-21,Viernes
8491,Mariano Cúneo Libarona seguiría al frente del Ministerio de Justicia pese a sus declaraciones de renuncia,Francis Dinatale,"DESTACADAS, NACIONALES",2025-11-20,10:01:38,3,Otros,2025-11-20,Jueves
8487,Hubo dictamen en el Senado para votar el rechazo a la incorporación de la libertaria Lorena Villaverde,Francis Dinatale,"DESTACADAS, POLITICA",2025-11-20,08:46:33,2,Política,2025-11-20,Jueves
8484,Las prepagas anunciaron aumentos: una de ellas subirá por encima de la inflación de octubre,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL",2025-11-20,08:26:56,5,Precios y costo de vida,2025-11-20,Jueves
8481,"Embalse presenta un fin de semana largo con cultura, turismo y deporte",Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-11-20,06:49:29,4,Deportes,2025-11-20,Jueves
8478,La Cumbrecita avanza en obra de saneamiento con apoyo provincial,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-11-20,06:41:03,5,Eventos locales,2025-11-20,Jueves
8475,Oktoberfest 2025: un arranque multitudinario en Villa General Belgrano,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-11-20,06:31:17,4,Otros,2025-11-20,Jueves
8472,El New York Times reveló detalles de la negociación secreta entre Donald Trump y Nicolás Maduro,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, POLITICA",2025-11-19,13:50:28,4,Política,2025-11-19,Miércoles
8469,Todos los clasificados a la Copa del Mundo 2026,Francis Dinatale,"DEPORTES, DESTACADAS",2025-11-19,13:30:55,4,Deportes,2025-11-19,Miércoles
8466,Allanan Nueva Maternidad Provincial y secuestran historias clínicas tras denuncia por mala praxis,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, JUDICIALES",2025-11-19,11:10:35,3,Justicia,2025-11-19,Miércoles
8451,La comisión Libra concluyó que Milei prestó &#8220;colaboración imprescindible&#8221; para la criptoestafa,Francis Dinatale,Sin Categoria,2025-11-19,11:04:25,2,Política,2025-11-19,Miércoles
8462,"Villa Ciudad Parque se prepara para “Sifón”, un encuentro de sabores, música y producción local",Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-11-19,07:05:47,8,Eventos locales,2025-11-19,Miércoles
8459,Embalse lanza un nuevo esquema de gestión con presencia directa en los barrios,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-11-19,06:59:46,6,Eventos locales,2025-11-19,Miércoles
8456,Villa Yacanto se prepara para una gran peña familiar este sábado,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-11-19,06:49:20,19,Eventos locales,2025-11-19,Miércoles
8453,La comisión Libra concluyó que Milei prestó &#8220;colaboración imprescindible&#8221; para la criptoestafa,Francis Dinatale,"DESTACADAS, POLITICA, TITULARES",2025-11-18,23:38:47,8,Política,2025-11-18,Martes
8448,"Quién es Ornella Calvete, la funcionaria de Economía a la que le encontraron 700.000 dólares en su casa",Francis Dinatale,"DESTACADAS, POLITICA",2025-11-18,23:22:06,2,Política,2025-11-18,Martes
8445,Coimas en ANDIS: Miguel Ángel Calvete se negó a declarar tras los audios filtrados,Francis Dinatale,"DESTACADAS, POLITICA",2025-11-18,23:19:02,4,Política,2025-11-18,Martes
8440,Bomberos combaten incendio de rollos de maní en San Agustín,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-11-18,06:43:43,11,Medio Ambiente,2025-11-18,Martes
8437,La Oktoberfest abrió sus puertas con sabores y tradición en Villa General Belgrano,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-11-18,06:36:38,8,Otros,2025-11-18,Martes
8434,"Córdoba, destino estrella del fin de semana XXL de noviembre",Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-11-18,06:30:49,6,Turismo y viajes,2025-11-18,Martes
8429,"Con Racing-River y Boca-Talleres, se definieron los cruces del Torneo Clausura 2025",Francis Dinatale,"DEPORTES, DESTACADAS",2025-11-18,00:13:00,6,Deportes,2025-11-18,Martes
8425,Belgrano empató ante Unión y se quedó sin playoffs,Francis Dinatale,"DEPORTES, DESTACADAS",2025-11-18,00:09:45,7,Deportes,2025-11-18,Martes
8422,Racing y River se enfrentarán en los octavos del Torneo Clausura tras el morboso partido de Copa Argentina,Francis Dinatale,"DEPORTES, DESTACADAS",2025-11-18,00:03:21,6,Deportes,2025-11-18,Martes
8419,Cruces de octavos Clausura 2025: así quedó el cuadro de la Liga Profesional,Francis Dinatale,"DEPORTES, DESTACADAS",2025-11-18,00:00:48,10,Deportes,2025-11-18,Martes
