ID,Título,Autor,Categorías,Fecha,Hora,Vistas,Topico_Final,solo_fecha,dia_semana_es
6323,"Colombia: murió el candidato presidencial Miguel Uribe Turbay, quien había sufrido un atentado",Francis Dinatale,"DESTACADAS, INTERNACIONALES, POLITICA",2025-08-11,09:17:10,1,Internacional,2025-08-11,Lunes
6320,El consumo acumula una nueva caída sobre un brutal retroceso del año pasado,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL",2025-08-11,09:12:42,1,Precios y costo de vida,2025-08-11,Lunes
6317,Este viernes los jubilados provinciales cobran el bono de $100 mil,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL",2025-08-11,09:06:02,1,Finanzas,2025-08-11,Lunes
6313,"Con polémica, Platense se lo empató a Instituto en el último minuto",Francis Dinatale,"DEPORTES, DESTACADAS",2025-08-11,09:02:17,1,Deportes,2025-08-11,Lunes
6309,Belgrano venció a Banfield y se afianza en la Zona A del Torneo Clausura,Francis Dinatale,"DEPORTES, DESTACADAS",2025-08-11,08:37:44,1,Deportes,2025-08-11,Lunes
6306,Turismo en crisis: los peores 18 meses desde que hay registro.,Francis Dinatale,"DESTACADAS, NACIONALES",2025-08-11,08:22:50,0,Turismo y viajes,2025-08-11,Lunes
6303,Accidente sin heridos en la Ruta 5: bomberos de Santa Rosa intervinieron para prevenir riesgos,Jose Manuel Ferrero,"DESTACADAS, POLICIALES",2025-08-11,06:50:15,2,Policial,2025-08-11,Lunes
6300,Uber desembarca en Calamuchita y desata tensión con remiseros locales,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-08-11,06:43:05,2,Eventos locales,2025-08-11,Lunes
6296,¡Talleres Campeón Después de 46 Años! La &#8220;T&#8221; de Berrotarán volvió a lo más alto del fútbol regional,Jose Manuel Ferrero,"DEPORTES, DESTACADAS",2025-08-11,06:32:36,2,Deportes,2025-08-11,Lunes
6287,River empató con Independiente en el Libertadores de América,Francis Dinatale,"DEPORTES, DESTACADAS",2025-08-10,12:03:03,2,Deportes,2025-08-10,Domingo
6284,Diputados: se viene otra semana complicada para Javier Milei en el Congreso,Francis Dinatale,"DESTACADAS, POLITICA",2025-08-10,11:55:24,1,Política,2025-08-10,Domingo
6280,"Para la UCA, las familias argentinas sufren el impacto del &#8220;estrés económico&#8221; por el ajuste del Gobierno",Francis Dinatale,"DESTACADAS, INTERÉS GENERAL",2025-08-10,11:42:49,0,Política,2025-08-10,Domingo
6277,Se viene una semana clave en el juicio por las acciones de YPF: qué podría pasar,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, NACIONALES",2025-08-10,11:27:17,0,Precios y costo de vida,2025-08-10,Domingo
6272,Boca reaccionó y empató el clásico ante Racing por 1-1 en la Bombonera por el Torneo Clausura,Francis Dinatale,"DEPORTES, DESTACADAS",2025-08-10,11:19:35,1,Deportes,2025-08-10,Domingo
6269,"María Eugenia Vidal contra el acuerdo con LLA: &#8220;Es malo para el PRO, para la gente y para el país&#8221;",Francis Dinatale,"DESTACADAS, POLITICA",2025-08-10,11:12:04,0,Política,2025-08-10,Domingo
6264,"San Lorenzo se reencontró con el gol, derrotó 1-0 a Vélez y trepó a la cima de la Zona B",Francis Dinatale,"DEPORTES, DESTACADAS",2025-08-08,09:16:16,1,Deportes,2025-08-08,Viernes
6260,Estudiantes extendió su buen momento y es líder del Grupo A,Francis Dinatale,"DEPORTES, DESTACADAS",2025-08-08,09:11:51,1,Deportes,2025-08-08,Viernes
6254,Diana Mondino: «Milei es corrupto o una especie de estúpido»,Francis Dinatale,"DESTACADAS, POLITICA",2025-08-08,08:46:17,2,Política,2025-08-08,Viernes
6250,Rojo se va de Boca y se acerca a Racing?,Francis Dinatale,"DEPORTES, DESTACADAS",2025-08-08,08:37:44,1,Deportes,2025-08-08,Viernes
6246,"Unidad peronista en la mayoría de las provincias, con rupturas en Córdoba, Jujuy, Salta y Tierra del Fuego",Francis Dinatale,"DESTACADAS, POLITICA",2025-08-08,08:30:29,1,Política,2025-08-08,Viernes
6242,Karina Milei anunció el acuerdo con Mauricio Macri &#8220;para formar una alianza&#8221; para las elecciones en la Ciudad,Francis Dinatale,"DESTACADAS, POLITICA",2025-08-08,08:18:31,1,Política,2025-08-08,Viernes
6239,"Elecciones de octubre: sobre el filo, peronismo y oficialismo inscribieron sus frentes",Francis Dinatale,"DESTACADAS, POLITICA",2025-08-08,08:09:23,1,Política,2025-08-08,Viernes
6236,Accidente entre moto y auto en Santa Rosa: un herido trasladado al hospital,Jose Manuel Ferrero,"DESTACADAS, POLICIALES",2025-08-08,07:18:04,2,Policial,2025-08-08,Viernes
6233,Violento robo en El Corcovado: tres delincuentes asaltaron a una pareja de adultos mayores,Jose Manuel Ferrero,"DESTACADAS, POLICIALES",2025-08-08,07:12:55,2,Policial,2025-08-08,Viernes
6230,Fuerte operativo en Villa Yacanto: dos detenidos y 42 motos secuestradas,Jose Manuel Ferrero,"DESTACADAS, POLICIALES",2025-08-08,07:05:37,3,Policial,2025-08-08,Viernes
6227,La primera reacción de Javier Milei a la media sanción del Financiamiento Universitario: &#8220;No se negocia&#8221;,Francis Dinatale,"DESTACADAS, POLITICA",2025-08-07,08:51:54,3,Política,2025-08-07,Jueves
6224,Natalia De la Sota jugará con su propia fuerza en octubre,Francis Dinatale,"DESTACADAS, POLITICA",2025-08-07,08:43:38,3,Política,2025-08-07,Jueves
6221,Dura sesión para Javier Milei: Diputados aprobó dos leyes claves y avanzó contra polémicos DNU,Francis Dinatale,"DESTACADAS, POLITICA",2025-08-07,08:29:19,3,Política,2025-08-07,Jueves
6218,Se creó el Programa Provincial de Armonización y Fortalecimiento del Sistema de Distribución Eléctrica,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL",2025-08-07,08:25:45,3,Otros,2025-08-07,Jueves
6215,La Cumbrecita se prepara para recibir a más de 1.200 corredores en la 7ª edición de la Ultra Champaquí,Jose Manuel Ferrero,"DEPORTES, DESTACADAS",2025-08-07,07:07:45,2,Deportes,2025-08-07,Jueves
6212,Estudiantes del Instituto Fragueiro realizarán pasantías en la Municipalidad de Embalse,Jose Manuel Ferrero,"DESTACADAS, POLITICA",2025-08-07,07:02:24,2,Política,2025-08-07,Jueves
6209,Reunión clave por el crimen en Villa Yacanto: autoridades locales exigieron avances a la Justicia,Jose Manuel Ferrero,"DESTACADAS, POLITICA",2025-08-07,06:49:46,4,Política,2025-08-07,Jueves
6206,"Junto a legisladores nacionales, Llaryora ratificó su rechazo al veto a la ley de Discapacidad",Francis Dinatale,"DESTACADAS, INTERÉS GENERAL",2025-08-06,10:01:17,3,Política,2025-08-06,Miércoles
6203,"Tras el veto de Javier Milei, jubilados y organizaciones sociales vuelven a marchar al Congreso",Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, POLITICA",2025-08-06,09:51:18,0,Política,2025-08-06,Miércoles
6201,"Motosierra recargada en 2026: el Gobierno prometió al FMI ajuste en discapacidad, IVA a exentos y suba de tarifas",Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, POLITICA",2025-08-06,08:58:36,3,Política,2025-08-06,Miércoles
