ID,Título,Autor,Categorías,Fecha,Hora,Vistas,Topico_Final,solo_fecha,dia_semana_es
7144,Sorpresa en la Bombonera: Central Córdoba levantó el 0-2 y le empató a Boca con un golazo,Francis Dinatale,"DEPORTES, DESTACADAS",2025-09-22,09:22:38,1,Deportes,2025-09-22,Lunes
7142,Milei baja las retenciones a cero para que el campo liquide,Francis Dinatale,"DESTACADAS, POLITICA",2025-09-22,09:10:45,1,Política,2025-09-22,Lunes
7139,Tragedia en Villa del Dique: falleció un niño de cinco años tras un aparente ahogamiento,Jose Manuel Ferrero,"DESTACADAS, POLICIALES",2025-09-22,06:50:05,2,Policial,2025-09-22,Lunes
7136,Embalse fue el corazón de la primavera: más de 20 mil jóvenes celebraron con música y alegría,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-09-22,06:40:18,3,Eventos locales,2025-09-22,Lunes
7133,Violenta pelea en el murallón del dique de Embalse terminó con un joven herido de bala,Jose Manuel Ferrero,"DESTACADAS, POLICIALES",2025-09-22,06:33:26,2,Policial,2025-09-22,Lunes
7127,Franco Colapinto quedó último en el primer día de entrenamiento de la Fórmula 1 en el circuito callejero de Bakú,Francis Dinatale,"DEPORTES, DESTACADAS",2025-09-19,10:35:37,1,Deportes,2025-09-19,Viernes
7123,Flamengo le ganó a Estudiantes 2 a 1 por los cuartos de final de la Copa Libertadores,Francis Dinatale,Sin Categoria,2025-09-19,10:19:25,0,Deportes,2025-09-19,Viernes
7120,Otro golpe a Javier Milei: el Senado rechazó el veto a la Ley de ATN,Francis Dinatale,"DESTACADAS, POLITICA",2025-09-19,10:10:19,0,Política,2025-09-19,Viernes
7116,Javier Milei desplazó a &#8220;Lule&#8221; Menem como coordinador de campaña: quién ocupa su lugar,Francis Dinatale,"DESTACADAS, POLITICA",2025-09-19,09:55:12,2,Política,2025-09-19,Viernes
7113,"Córdoba se llena de música, color y reencuentros: guía para disfrutar la primavera 2025",Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-09-19,07:19:06,3,Eventos locales,2025-09-19,Viernes
7110,Los Reartes impulsa el cultivo familiar con un taller gratuito de huertas,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-09-19,07:11:03,3,Eventos locales,2025-09-19,Viernes
7107,La Cumbrecita celebra la primavera con el «September Fest 2025»,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-09-19,07:03:44,3,Eventos locales,2025-09-19,Viernes
7102,River perdió con Palmeiras por la Copa Libertadores y deberá dar vuelta la serie en San Pablo,Francis Dinatale,"DEPORTES, DESTACADAS",2025-09-18,10:25:16,1,Deportes,2025-09-18,Jueves
7098,Por mayorías abrumadoras rechazaron los vetos a universidades y el Garrahan en Diputados,Francis Dinatale,"DESTACADAS, POLITICA",2025-09-18,10:08:06,1,Política,2025-09-18,Jueves
7093,Multitudinaria tercera Marcha Federal Universitaria,Francis Dinatale,"DESTACADAS, POLITICA",2025-09-18,09:24:32,1,Política,2025-09-18,Jueves
7090,El Senado debate este jueves el rechazo al veto de la Ley de ATN,Francis Dinatale,"DESTACADAS, POLITICA",2025-09-18,09:12:04,4,Política,2025-09-18,Jueves
7087,Embalse brilló como sede de los Torneos Nacional y Sudamericano de Beach Tennis,Jose Manuel Ferrero,"DEPORTES, DESTACADAS",2025-09-18,06:36:02,5,Deportes,2025-09-18,Jueves
7084,Villa Rumipal invita a construir huertas modelo: taller gratuito el 26 de septiembre,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-09-18,06:30:46,5,Eventos locales,2025-09-18,Jueves
7081,Los Reartes se llena de voces: recital coral este sábado con entrada libre,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-09-18,06:22:09,2,Otros,2025-09-18,Jueves
7078,Diputados buscan revertir vetos de Javier Milei por universidades y salud pediátrica,Francis Dinatale,"DESTACADAS, POLITICA",2025-09-17,10:12:32,1,Política,2025-09-17,Miércoles
7075,River vs. Palmeiras por los cuartos de final de la Copa Libertadores,Francis Dinatale,"DEPORTES, DESTACADAS",2025-09-17,10:06:26,0,Deportes,2025-09-17,Miércoles
7071,Racing aprovechó el hombre de más y pegó primero en la serie ante Vélez,Francis Dinatale,"DEPORTES, DESTACADAS",2025-09-17,09:53:21,1,Deportes,2025-09-17,Miércoles
7068,Megaoperativo para la Marcha Federal Universitaria: gobierno dispuso más de mil efectivos,Francis Dinatale,"DESTACADAS, POLITICA",2025-09-17,09:46:48,1,Política,2025-09-17,Miércoles
7063,"Marcha Federal Universitaria: este miércoles, estudiantes y docentes se manifiestan frente al Congreso",Francis Dinatale,"DESTACADAS, POLITICA",2025-09-17,09:24:57,1,Política,2025-09-17,Miércoles
7060,Detenido tras huir ebrio de un control policial en Santa Rosa de Calamuchita,Jose Manuel Ferrero,"DESTACADAS, POLICIALES",2025-09-17,06:54:34,2,Policial,2025-09-17,Miércoles
7057,Embalse asume la gestión de dos hoteles turísticos clave tras acuerdo con la AABE,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-09-17,06:46:56,3,Otros,2025-09-17,Miércoles
7054,Auto sin ocupantes cayó al río en Santa Rosa: investigan cómo fue arrastrado desde una vivienda,Jose Manuel Ferrero,"DESTACADAS, POLICIALES",2025-09-17,06:36:23,2,Policial,2025-09-17,Miércoles
7048,La Cámara Nacional Electoral le prohibió votar a Cristina en las próximas elecciones,Francis Dinatale,"DESTACADAS, POLITICA",2025-09-16,11:10:00,4,Política,2025-09-16,Martes
7045,La Comisión de Investigación de la ONU concluye que Israel comete genocidio en Gaza: exige intervención de los Estados,Francis Dinatale,"DESTACADAS, INTERNACIONALES",2025-09-16,10:23:23,3,Internacional,2025-09-16,Martes
7040,Argentina continúa a paso firme en el Mundial de Vóleibol y quedó a tiro de la clasificación a octavos,Francis Dinatale,"DEPORTES, DESTACADAS",2025-09-16,10:09:45,1,Deportes,2025-09-16,Martes
7037,Quinteros dio el sí y sólo resta la firma para que se convierta en el nuevo DT de Independiente,Francis Dinatale,"DEPORTES, DESTACADAS",2025-09-16,09:39:36,0,Deportes,2025-09-16,Martes
7034,Se va otra funcionaria del FMI crítica del acuerdo con Argentina: &#8220;Este naufragio es más fraudulento que el de 2018&#8221;,Francis Dinatale,"DESTACADAS, POLITICA",2025-09-16,09:31:31,1,Política,2025-09-16,Martes
7031,Javier Milei presentó su Presupuesto 2025 en cadena nacional: &#8220;Lo peor ya pasó&#8221;,Francis Dinatale,"DESTACADAS, POLITICA",2025-09-16,09:07:39,1,Política,2025-09-16,Martes
7028,Detienen a una mujer en Villa Yacanto por apuñalar a su pareja,Jose Manuel Ferrero,"DESTACADAS, POLICIALES",2025-09-16,06:52:14,4,Policial,2025-09-16,Martes
7025,Conductora ilesa tras vuelco en solitario en la Ruta Provincial S228,Jose Manuel Ferrero,"DESTACADAS, POLICIALES",2025-09-16,06:45:50,6,Policial,2025-09-16,Martes
7022,Igualdad en las semifinales de la LRRF y consagración anticipada en Sub-12,Jose Manuel Ferrero,"DEPORTES, DESTACADAS",2025-09-16,06:39:10,3,Deportes,2025-09-16,Martes
