ID,Título,Autor,Categorías,Fecha,Hora,Vistas,Topico_Final,solo_fecha,dia_semana_es
5984,El Boca de Riquelme volvió a perder y profundizó su crisis,Francis Dinatale,"DEPORTES, DESTACADAS",2025-07-28,08:35:26,1,Deportes,2025-07-28,Lunes
5981,Anuncian paro de vuelos en pleno cierre de las vacaciones de invierno,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL",2025-07-28,08:27:49,0,Clima,2025-07-28,Lunes
5978,Llaryora aumenta un 84% el haber mínimo jubilatorio y otorga un bono bimestral de $100 mil para jubilados que cobran hasta $1.300.000,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL",2025-07-28,08:19:56,1,Política,2025-07-28,Lunes
5973,Nobel de Economía advierte que la Argentina está al borde de &#8220;otra crisis&#8221; por deuda con el FMI,Francis Dinatale,"DESTACADAS, NACIONALES, POLITICA",2025-07-28,08:03:22,1,Política,2025-07-28,Lunes
5970,Villa Ciudad Parque lanza capacitación gratuita en administración,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-07-28,06:50:32,2,Eventos locales,2025-07-28,Lunes
5967,Embalse refuerza su compromiso con la prevención del suicidio,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-07-28,06:43:12,2,Otros,2025-07-28,Lunes
5964,Córdoba acelera negociaciones para el regreso del Rally Mundial en 2027,Jose Manuel Ferrero,"DEPORTES, DESTACADAS",2025-07-28,06:30:35,2,Deportes,2025-07-28,Lunes
5954,Tragedia en Río Negro: cuatro muertos en un choque frontal sobre la Ruta Nacional 151,Francis Dinatale,Sin Categoria,2025-07-27,12:18:00,1,Policial,2025-07-27,Domingo
5950,Torneo Clausura: Belgrano empató 0 a 0 con Independiente Rivadavia en Mendoza,Francis Dinatale,"DEPORTES, DESTACADAS",2025-07-26,07:03:08,3,Deportes,2025-07-26,Sábado
5947,Tragedia de las Altas Cumbres: Oscar González pidió una &#8220;probation&#8221; y ofreció reparar los daños,Francis Dinatale,"DESTACADAS, JUDICIALES",2025-07-26,06:53:36,3,Justicia,2025-07-26,Sábado
5944,Rural: se mantiene la expectativa sobre si irá Villarruel,Francis Dinatale,"DESTACADAS, POLITICA",2025-07-26,06:46:29,3,Política,2025-07-26,Sábado
5941,Con grandes esperanzas esperan a Javier Milei en la Exposición Rural de Palermo,Francis Dinatale,"DESTACADAS, POLITICA",2025-07-26,06:24:52,3,Política,2025-07-26,Sábado
5938,AHORA. Encontraron restos humanos en la zona de boliches de Av. Cárcano. Trabaja Policia Judicial,Redaccion,"DESTACADAS, POLICIALES",2025-07-25,12:07:38,2,Policial,2025-07-25,Viernes
5935,La industria textil argentina en jaque: 7 de cada 10 prendas ya son importadas,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, NACIONALES",2025-07-25,09:29:02,3,Otros,2025-07-25,Viernes
5932,Javier Milei celebró el nuevo acuerdo con el FMI: &#8220;No apto para mandriles&#8230;&#8221;,Francis Dinatale,"DESTACADAS, NACIONALES, POLITICA",2025-07-25,08:58:38,1,Política,2025-07-25,Viernes
5929,"Choque en cadena en acceso a Villa General Belgrano: cuatro vehículos involucrados, sin heridos",Jose Manuel Ferrero,"DESTACADAS, POLICIALES",2025-07-25,06:55:56,4,Policial,2025-07-25,Viernes
5926,Refuerzan el comedor escolar de Villa Rumipal con nueva inversión provincial,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-07-25,06:48:00,4,Otros,2025-07-25,Viernes
5923,Villa Yacanto da el primer paso en su renovación turística con señalética en El Durazno,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-07-25,06:36:28,3,Eventos locales,2025-07-25,Viernes
5919,NEONATAL: Por que Cardozo fue absuelto y los fundamentos del tribunal por la condena a Brenda Agüero,Redaccion,"DESTACADAS, JUDICIALES",2025-07-24,12:16:45,4,Justicia,2025-07-24,Jueves
