ID,Título,Autor,Categorías,Fecha,Hora,Vistas,Topico_Final,solo_fecha,dia_semana_es
8275,Arceluz y Queralt se imponen en una vibrante jornada del Rally Cordobés,Jose Manuel Ferrero,"DEPORTES, DESTACADAS",2025-11-10,06:35:26,7,Deportes,2025-11-10,Lunes
8272,Huracán de Las Isletillas es finalista y sueña con el ascenso,Jose Manuel Ferrero,"DEPORTES, DESTACADAS",2025-11-10,06:31:12,6,Deportes,2025-11-10,Lunes
8269,Rescate en las sierras de Calamuchita: 20 senderistas fueron auxiliados en la Quebrada de Irma,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-11-10,06:22:39,6,Eventos locales,2025-11-10,Lunes
8265,Fórmula 1: Colapinto finalizó decimoquinto en el GP de Brasil   ,Francis Dinatale,"DEPORTES, DESTACADAS",2025-11-09,23:25:52,7,Deportes,2025-11-09,Domingo
8262,Manuel Adorni y Diego Santilli recibirán a Martín Llaryora y Marcelo Orrego en una nueva ronda de diálogo con gobernadores,Francis Dinatale,"DESTACADAS, POLITICA",2025-11-09,23:18:42,7,Política,2025-11-09,Domingo
8258,Ander Herrera y el fuego del Superclásico: “Esto no se vive en Europa”,Francis Dinatale,"DEPORTES, DESTACADAS",2025-11-09,23:15:32,4,Deportes,2025-11-09,Domingo
8255,Qué necesita River para clasificar a la Copa Libertadores 2026,Francis Dinatale,"DEPORTES, DESTACADAS",2025-11-09,23:09:14,3,Deportes,2025-11-09,Domingo
8249,Boca aplastó 2-0 a un flojísimo River y aseguró su regreso a la Copa Libertadores,Francis Dinatale,"DEPORTES, DESTACADAS",2025-11-09,23:05:30,4,Deportes,2025-11-09,Domingo
8244,Coimas en la Andis: reapareció Diego Spagnuolo para afirmar que &#8220;los audios son falsos&#8221;,Francis Dinatale,"DESTACADAS, POLITICA",2025-11-07,09:41:42,6,Política,2025-11-07,Viernes
8231,Colapinto comienza la actividad en el circuito de Interlagos,Francis Dinatale,"DEPORTES, DESTACADAS",2025-11-07,09:35:54,6,Deportes,2025-11-07,Viernes
8238,Córdoba se consagra en las Olimpíadas de Matemática Matific Latam 2025,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-11-07,06:47:07,6,Otros,2025-11-07,Viernes
8235,Jornada en La Cumbrecita: el tabaquillo como aliado del ambiente serrano,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-11-07,06:42:06,9,Otros,2025-11-07,Viernes
8232,Copa Córdoba: Talleres de Berrotarán dejó todo pero cayó ante Instituto,Jose Manuel Ferrero,"DEPORTES, DESTACADAS",2025-11-07,06:36:16,7,Deportes,2025-11-07,Viernes
8226,La palabra de Marcelo Gallardo tras renovar contrato hasta 2026: &#8220;No me voy a ir corriendo por un mal año&#8221;,Francis Dinatale,"DEPORTES, DESTACADAS",2025-11-06,10:45:13,5,Deportes,2025-11-06,Jueves
8222,El Gobierno dio inicio al proceso de privatización parcial de la empresa que opera las centrales nucleares,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, NACIONALES",2025-11-06,10:07:48,10,Política,2025-11-06,Jueves
8219,Empresarios advierten que caen las ventas porque &#8220;la gente usa la tarjeta de crédito para comprar alimentos&#8221;,Francis Dinatale,Sin Categoria,2025-11-06,09:13:15,8,Finanzas,2025-11-06,Jueves
8216,Un homenaje que se puede compartir: descubren un banco monumental en honor a Belgrano,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-11-06,06:53:22,8,Finanzas,2025-11-06,Jueves
8213,"Embalse vibra en noviembre con cultura, deporte y tradición",Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-11-06,06:49:12,4,Deportes,2025-11-06,Jueves
8210,Santa Rosa lanza campaña “Queremos Cuidarte” para prevenir el alcohol al volante,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-11-06,06:43:37,6,Eventos locales,2025-11-06,Jueves
8206,Caminar puede frenar el Alzheimer antes de que empiece,Francis Dinatale,INTERÉS GENERAL,2025-11-06,01:16:39,9,Salud,2025-11-06,Jueves
8203,"A días del Superclásico, Marcelo Gallardo renovó su contrato con River: seguirá hasta diciembre de 2026",Francis Dinatale,"DEPORTES, DESTACADAS",2025-11-06,00:41:42,4,Deportes,2025-11-06,Jueves
8198,"¡Independiente Rivadavia campeón!, le ganó a Argentinos Juniors por penales",Francis Dinatale,"DEPORTES, DESTACADAS",2025-11-06,00:30:14,5,Deportes,2025-11-06,Jueves
8194,Así es la nueva camiseta de la Selección Argentina para el Mundial 2026: precio y cuándo sale a la venta,Francis Dinatale,"DEPORTES, DESTACADAS",2025-11-05,13:29:28,9,Deportes,2025-11-05,Miércoles
8189,"La gran Final: Independiente Rivadavia vs. Argentinos Juniors, por la Copa Argentina",Francis Dinatale,"DEPORTES, DESTACADAS",2025-11-05,10:31:03,6,Deportes,2025-11-05,Miércoles
8184,Jaldo anunció su apoyo a la reforma laboral,Francis Dinatale,"DESTACADAS, POLITICA",2025-11-05,10:19:28,4,Política,2025-11-05,Miércoles
8181,Javier Milei inicia una nueva gira: su agenda en Estados Unidos y Bolivia,Francis Dinatale,Sin Categoria,2025-11-05,10:16:28,3,Política,2025-11-05,Miércoles
8178,Hito para la salud pública: el Hospital Córdoba realizó con éxito el primer trasplante de corazón de un donante en asistolia controlada del país,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL",2025-11-05,09:41:04,5,Salud,2025-11-05,Miércoles
8175,Cierre definitivo del Registro del Automotor de Embalse: preocupación regional por el traslado a Río Tercero,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-11-05,07:03:14,12,Eventos locales,2025-11-05,Miércoles
