ID,Título,Autor,Categorías,Fecha,Hora,Vistas,Topico_Final,solo_fecha,dia_semana_es
6608,Apareció Lule Menem: &#8220;Nada de lo que hagan frenará la lucha que estamos llevando adelante&#8221;,Francis Dinatale,"DESTACADAS, POLITICA",2025-08-25,08:51:47,0,Política,2025-08-25,Lunes
6604,River visita a Lanus con el objetivo de seguir arriva en el Clausura,Francis Dinatale,"DEPORTES, DESTACADAS",2025-08-25,08:41:27,1,Deportes,2025-08-25,Lunes
6601,Reaparece Javier Milei en pleno escándalo: se espera que retome la campaña electoral en Junín,Francis Dinatale,"DESTACADAS, POLITICA",2025-08-25,08:18:16,2,Política,2025-08-25,Lunes
6598,El Gobierno oficializó los rechazos del Congreso a cinco decretos de Javier Milei,Francis Dinatale,"DESTACADAS, POLITICA",2025-08-25,08:12:45,0,Política,2025-08-25,Lunes
6595,Choque en Ruta 5: un motociclista herido tras colisión con un automóvil,Jose Manuel Ferrero,"DESTACADAS, POLICIALES",2025-08-25,07:52:19,2,Policial,2025-08-25,Lunes
6592,"Deportivo Independiente y Deportivo Italiano, directo a semifinales del Torneo Femenino",Jose Manuel Ferrero,"DEPORTES, DESTACADAS",2025-08-25,07:43:54,3,Deportes,2025-08-25,Lunes
6589,Clausura en marcha: Atlético Independiente festejó en casa y Talleres estrenó estadio,Jose Manuel Ferrero,"DEPORTES, DESTACADAS",2025-08-25,07:32:32,2,Deportes,2025-08-25,Lunes
6584,Talleres volvió a perder y Tévez no habló en conferencia de prensa,Francis Dinatale,"DEPORTES, DESTACADAS",2025-08-24,12:53:32,0,Deportes,2025-08-24,Domingo
6581,Revelan el audio completo de Diego Spagnuolo: &#8220;Son más chorros que los Kirchner&#8221;,Francis Dinatale,"DESTACADAS, POLITICA",2025-08-24,12:44:37,0,Política,2025-08-24,Domingo
6575,Boca recibe a Banfield con el objetivo de volver a sumar de a tres,Francis Dinatale,"DEPORTES, DESTACADAS",2025-08-24,12:37:56,2,Deportes,2025-08-24,Domingo
6572,Victoria Villarruel se despega del escándalo de los Milei: &#8220;Yo cumplo con responsabilidad y rectitud&#8221;,Francis Dinatale,"DESTACADAS, POLITICA",2025-08-24,12:32:01,1,Política,2025-08-24,Domingo
