ID,Título,Autor,Categorías,Fecha,Hora,Vistas,Topico_Final,solo_fecha,dia_semana_es
9737,Los Reartes apuesta al turismo sustentable: habilitan Ecopuntos con actividades gratuitas,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-01-19,07:13:10,7,Turismo y viajes,2026-01-19,Lunes
9734,El Lago de Embalse se iluminó con la 11º edición de la Remada Nocturna,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-01-19,07:07:30,4,Eventos locales,2026-01-19,Lunes
9731,Operativo de rescate en Santa Rosa: un turista de Buenos Aires fue asistido tras una urgencia médica en &#8220;La Olla&#8221;,Jose Manuel Ferrero,"DESTACADAS, POLICIALES",2026-01-19,07:00:33,5,Policial,2026-01-19,Lunes
9722,Chile: al menos 16 muertos y más de 50.000 evacuados por los Incendios forestales,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, INTERNACIONALES",2026-01-18,23:42:56,3,Internacional,2026-01-18,Domingo
9716,Dramática noche en Comodoro Rivadavia: un deslizamiento de tierras destruyó calles y casas,Francis Dinatale,Sin Categoria,2026-01-18,18:52:44,3,Otros,2026-01-18,Domingo
9713,"Boca vs. Olimpia por un amistoso internacional: horario, formaciones y cómo ver en vivo",Francis Dinatale,"DEPORTES, DESTACADAS",2026-01-18,18:39:09,3,Deportes,2026-01-18,Domingo
9710,Revés para Donald Trump y María Corina Machado: el Comité Nobel aclaró que el premio es &#8220;intransferible&#8221;,Francis Dinatale,"DESTACADAS, INTERNACIONALES, POLITICA",2026-01-18,18:36:13,2,Internacional,2026-01-18,Domingo
9702,La secretaria de Industria fueguina advierte por la baja de aranceles a celulares,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, TITULARES",2026-01-16,09:33:47,3,Tecnología,2026-01-16,Viernes
9696,Alemania y Francia mandan tropas para defender a Groenlandia de las amenazas de Trump,Francis Dinatale,"DESTACADAS, INTERNACIONALES",2026-01-16,09:16:15,4,Internacional,2026-01-16,Viernes
9693,Córdoba reduce la presión impositiva: Llega el Inmobiliario Urbano con descuento de hasta el 25%,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, TITULARES",2026-01-16,09:02:22,4,Precios y costo de vida,2026-01-16,Viernes
9690,Aumentan los casos de gripe A H3N2 en el país: confirman nuevos contagios en Córdoba y Corrientes,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, Sin Categoria, TITULARES",2026-01-16,08:58:13,4,Eventos locales,2026-01-16,Viernes
9687,Los Reartes: Inician los controles de salud para el ciclo lectivo 2026,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-01-16,06:45:49,10,Eventos locales,2026-01-16,Viernes
9684,Embalse se prepara para una noche mágica: llega la 11º edición de la Remada Nocturna,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-01-16,06:37:24,10,Eventos locales,2026-01-16,Viernes
9681,Villa Yacanto se tiñe de violeta: Hoy se celebra la Fiesta de la Cosecha de Lavanda,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-01-16,06:26:32,6,Eventos locales,2026-01-16,Viernes
9672,Polémica por la designación de un no meteorólogo como director del SMN: &#8220;Decisión peligrosa&#8221;,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, POLITICA",2026-01-15,09:47:17,7,Política,2026-01-15,Jueves
9673,Paredes respaldó la continuidad de Úbeda en Boca: &#8220;Siempre tuvimos la ilusión de que pueda seguir&#8221;,Francis Dinatale,"DEPORTES, DESTACADAS",2026-01-15,09:32:26,6,Deportes,2026-01-15,Jueves
9668,Otro accidente con un UTV en Pinamar: un hombre debió ser internado de urgencia con traumatismo de cráneo,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, NACIONALES",2026-01-15,09:26:23,6,Justicia,2026-01-15,Jueves
9662,Boca y Millonarios empataron sin goles en la Copa Miguel Russo y ambos se llevaron un trofeo,Francis Dinatale,"DEPORTES, DESTACADAS",2026-01-15,09:18:43,4,Deportes,2026-01-15,Jueves
9659,Ignacio Torres informó que los incendios en Chubut están contenidos en un 85% y se esperan lluvias,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, NACIONALES",2026-01-15,09:13:37,4,Clima,2026-01-15,Jueves
9656,Escalada máxima: Irán cerró su espacio aéreo mientras Estados Unidos amenaza con atacar,Francis Dinatale,"DESTACADAS, EEUU, INTERNACIONALES, POLITICA",2026-01-15,09:09:54,5,Internacional,2026-01-15,Jueves
9653,Verano inolvidable: Alumnos de la Escuela Municipal disfrutaron del lago y el parque acuático en Embalse,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-01-15,06:55:14,9,Eventos locales,2026-01-15,Jueves
9650,Operativo especial de PAMI en La Cumbrecita: brindarán atención personalizada este 20 de enero,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-01-15,06:49:19,8,Policial,2026-01-15,Jueves
9647,Villa Rumipal se viste de gala: Comienza el Festival Provincial del Lago 2026,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-01-15,06:42:34,6,Eventos locales,2026-01-15,Jueves
9642,El tour del trofeo de la Copa Mundial de la FIFA llega a la Argentina,Francis Dinatale,"DEPORTES, DESTACADAS",2026-01-14,09:31:37,5,Deportes,2026-01-14,Miércoles
9639,"Las cuatro señales de alerta de infarto y ACV, los riesgos y cómo cuidar la salud, según especialistas",Francis Dinatale,"DESTACADAS, INTERÉS GENERAL",2026-01-14,09:14:27,5,Clima,2026-01-14,Miércoles
9636,Reforma laboral: gobernadores  endurecen reclamo por Ganancias,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, NACIONALES",2026-01-14,09:06:00,7,Política,2026-01-14,Miércoles
9633,Bomberos cordobeses continúan combatiendo el fuego en El Maitén,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, NACIONALES",2026-01-14,08:55:43,3,Otros,2026-01-14,Miércoles
9630,Los Reartes se tiñe de violeta: Comienza la tradicional Fiesta de la Cosecha de Lavanda,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-01-14,06:53:53,6,Otros,2026-01-14,Miércoles
9627,Villa Yacanto consolida su crecimiento turístico con un fuerte cierre de año y apuesta al bienestar,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-01-14,06:48:29,10,Eventos locales,2026-01-14,Miércoles
9624,Villa Amancay se moderniza: lanzan plataforma digital autogestionable para potenciar el turismo local,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-01-14,06:38:28,7,Eventos locales,2026-01-14,Miércoles
9620,Los 11 de Claudio Úbeda para el primer amistoso de Boca en 2026,Francis Dinatale,"DEPORTES, DESTACADAS",2026-01-14,00:25:06,4,Deportes,2026-01-14,Miércoles
9617,"En un partidazo, Independiente venció 5-3 a Everton, por la Serie Río de La Plata 2026",Francis Dinatale,"DEPORTES, DESTACADAS",2026-01-14,00:17:13,3,Deportes,2026-01-14,Miércoles
9613,Emergencia en Epuyén: declaran &#8220;Estado de Catástrofe&#8221; por el avance de los incendios,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, NACIONALES",2026-01-13,23:55:32,7,Medio Ambiente,2026-01-13,Martes
9610,Mercado Libre echó a 119 personas que habían entrenado bots y los reemplaza con inteligencia artificial,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, NACIONALES",2026-01-13,11:11:19,7,Tecnología,2026-01-13,Martes
9607,"Villarruel viajó a la zona de los incendios para exponer a Milei, que subió una foto hecha con IA",Francis Dinatale,"DESTACADAS, NACIONALES, POLITICA",2026-01-13,11:05:04,3,Política,2026-01-13,Martes
9604,Incendios en Chubut: Victoria Villarruel propuso que se agraven las penas con cárcel efectiva para quienes inicien el fuego,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, NACIONALES, POLITICA",2026-01-13,10:25:06,3,Política,2026-01-13,Martes
