ID,Título,Autor,Categorías,Fecha,Hora,Vistas,Topico_Final,solo_fecha,dia_semana_es
10049,"Argentinos Juniors vs. Belgrano,",Francis Dinatale,"DEPORTES, DESTACADAS",2026-02-02,09:12:02,1,Deportes,2026-02-02,Lunes
10045,"Tigre vs. Racing por el Torneo Apertura 2026: horario, formaciones y cómo ver en vivo",Francis Dinatale,"DEPORTES, DESTACADAS",2026-02-02,08:48:14,0,Deportes,2026-02-02,Lunes
10042,El Gobierno extendió la declaración de la emergencia ígnea a Santa Cruz pero no dispuso fondos,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, NACIONALES, POLITICA",2026-02-02,08:40:31,1,Política,2026-02-02,Lunes
10039,Final feliz en Embalse: Bomberos rescataron a tres perros atrapados en la ribera,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-02-02,07:21:31,5,Otros,2026-02-02,Lunes
10036,Tragedia en Santa Rosa de Calamuchita: un hombre falleció tras descompensarse en la Ruta 5,Jose Manuel Ferrero,"DESTACADAS, POLICIALES",2026-02-02,07:11:10,4,Policial,2026-02-02,Lunes
10032,El Congreso vuelve a sesionar con la reforma laboral en el centro del debate,Francis Dinatale,"DESTACADAS, POLITICA",2026-02-02,00:47:59,7,Política,2026-02-02,Lunes
10027,Sin gritos en Arroyito: Central y River no pudieron romper el cero,Francis Dinatale,"DEPORTES, DESTACADAS",2026-02-02,00:37:36,3,Deportes,2026-02-02,Lunes
10024,Boca venció 2-0 a Newell&#8217;s en La Bombonera y se afirmó en la Zona A,Francis Dinatale,"DEPORTES, DESTACADAS",2026-02-02,00:18:26,3,Deportes,2026-02-02,Lunes
10009,Paro nacional de ATE afectará la operatoria en aeropuertos durante febrero,Redaccion,"DESTACADAS, INTERÉS GENERAL, TITULARES",2026-02-01,09:00:00,1,Sociedad,2026-02-01,Domingo
10012,Laurita Fernández recordó una curiosa recomendación que le hizo Federico Bal durante su relación,Redaccion,"CHIMENTOS, DESTACADAS, TITULARES",2026-02-01,08:30:00,2,Otros,2026-02-01,Domingo
