ID,Título,Autor,Categorías,Fecha,Hora,Vistas,Topico_Final,solo_fecha,dia_semana_es
10866,Histórico avance en Embalse: El intendente Mario Rivarola inauguró el adoquinado del Barrio Escuela,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-03-16,06:39:59,3,Sociedad,2026-03-16,Lunes
10863,Zeballos y Cardano rugieron en Calamuchita: victoria y liderato en el arranque del Rally Cordobés,Jose Manuel Ferrero,"DEPORTES, DESTACADAS",2026-03-16,06:29:48,5,Deportes,2026-03-16,Lunes
10852,Milei se derrumba en las encuestas por el caso Adorni y la crisis económica,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, POLITICA",2026-03-15,12:34:57,8,Política,2026-03-15,Domingo
10849,Los abogados de Estados Unidos contactaron a diputados de la Comisión Libra para abrir un juicio penal contra Milei,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, POLITICA",2026-03-15,12:30:30,3,Política,2026-03-15,Domingo
10846,Franco Colapinto terminó 10º en el GP de China y sumó su primer punto con Alpine,Francis Dinatale,"DEPORTES, DESTACADAS",2026-03-15,12:01:27,2,Deportes,2026-03-15,Domingo
10843,Se canceló la Finalissima entre Argentina y España por el conflicto en Medio Oriente,Francis Dinatale,"DEPORTES, DESTACADAS",2026-03-15,11:58:06,6,Deportes,2026-03-15,Domingo
10840,Crecen las chances de que no se juegue la Finalissima entre Argentina y España,Francis Dinatale,"DEPORTES, DESTACADAS",2026-03-14,15:45:39,2,Deportes,2026-03-14,Sábado
10837,Pese al ajuste y la recesión la inflación no baja,Francis Dinatale,"DESTACADAS, NACIONALES, POLITICA, TITULARES",2026-03-14,15:42:20,3,Política,2026-03-14,Sábado
10834,La Reforma Laboral tuvo su primer revés judicial y ahora el Gobierno quiere llevarlo a la Corte Suprema,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, POLITICA",2026-03-14,15:34:06,2,Política,2026-03-14,Sábado
10831,Colapinto largará 12° en el Gran Premio de China y quedó a milésimas de meterse en la Q3,Francis Dinatale,"DEPORTES, DESTACADAS",2026-03-14,15:29:18,2,Deportes,2026-03-14,Sábado
10827,Colapinto pasó a SQ2 y largará 16° en el Sprint del GP de China,Francis Dinatale,"DEPORTES, DESTACADAS",2026-03-13,09:35:29,4,Deportes,2026-03-13,Viernes
10824,Los efectos de la guerra de Trump: más de 1.110 niños ya murieron o fueron heridos en Medio Oriente,Francis Dinatale,"DESTACADAS, INTERNACIONALES, POLITICA",2026-03-13,09:30:45,3,Internacional,2026-03-13,Viernes
