ID,Título,Autor,Categorías,Fecha,Hora,Vistas,Topico_Final,solo_fecha,dia_semana_es
9434,"Estados Unidos y la Doctrina Monroe: dos siglos de intervenciones, golpes y tutelaje sobre América Latina",Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, INTERNACIONALES",2026-01-05,09:11:29,1,Internacional,2026-01-05,Lunes
9430,River cerró a su tercer refuerzo y ya se realizó la revisión médica,Francis Dinatale,"DEPORTES, DESTACADAS",2026-01-05,08:56:29,1,Deportes,2026-01-05,Lunes
9426,Delcy está en Caracas y toma el control del gobierno: &#8220;el único presidente es Maduro&#8221;,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, INTERNACIONALES",2026-01-05,08:48:49,1,Internacional,2026-01-05,Lunes
9422,Rubio confirma la negociación con el chavismo: &#8220;¿Elecciones? Es un poco prematuro para eso&#8221;,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, INTERNACIONALES",2026-01-05,08:43:35,1,Internacional,2026-01-05,Lunes
9419,Trump endureció su discurso contra Petro: sugirió una posible acción directa en Colombia,Francis Dinatale,Sin Categoria,2026-01-05,08:31:00,1,Internacional,2026-01-05,Lunes
9416,"Nicolás Maduro, ante la Justicia de Estados Unidos: primera audiencia en Nueva York tras su captura",Francis Dinatale,"DESTACADAS, EEUU, INTERÉS GENERAL, INTERNACIONALES",2026-01-05,08:27:58,1,Internacional,2026-01-05,Lunes
9412,Córdoba proyecta un verano récord: más de 500 mil turistas eligieron la provincia para iniciar el 2026,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2026-01-05,06:37:23,8,Turismo y viajes,2026-01-05,Lunes
9409,Fin de semana de contrastes en Calamuchita: Violento asalto en Yacanto y heroico rescate en Santa Rosa,Jose Manuel Ferrero,"DESTACADAS, POLICIALES",2026-01-05,06:31:35,6,Policial,2026-01-05,Lunes
9406,Susto en Santa Rosa: Choque entre un auto y una moto terminó sin heridos,Jose Manuel Ferrero,"DESTACADAS, POLICIALES",2026-01-05,06:22:44,6,Policial,2026-01-05,Lunes
9400,Al menos 40 personas murieron en el ataque de Estados Unidos a Venezuela,Francis Dinatale,"DESTACADAS, EEUU, INTERÉS GENERAL, INTERNACIONALES",2026-01-04,14:07:06,8,Internacional,2026-01-04,Domingo
