ID,Título,Autor,Categorías,Fecha,Hora,Vistas,Topico_Final,solo_fecha,dia_semana_es
8870,Racing le ganó 1-0 a Boca y avanzó a la final del Torneo Clausura,Francis Dinatale,Sin Categoria,2025-12-08,00:56:11,3,Deportes,2025-12-08,Lunes
8867,El precio de la nafta se disparó por aumento del impuesto al combustible,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL, NACIONALES",2025-12-07,12:40:03,5,Precios y costo de vida,2025-12-07,Domingo
8860,"Boca vs. Racing por la semifinal del Torneo Clausura: horario, formaciones",Francis Dinatale,"DEPORTES, DESTACADAS",2025-12-07,12:27:41,4,Deportes,2025-12-07,Domingo
8856,"Mundial 2026: días, horarios y sedes confirmadas para la Selección Argentina en fase de grupos",Francis Dinatale,"DEPORTES, DESTACADAS",2025-12-07,12:14:51,4,Deportes,2025-12-07,Domingo
8852,F1 GP de Abu Dhabi: Lando Norris es el campeón del mundo y Max Verstappen ganó la carrera,Francis Dinatale,"DEPORTES, DESTACADAS",2025-12-07,12:03:08,4,Deportes,2025-12-07,Domingo
8848,Córdoba desarrollará un proyecto modelo de turismo sostenible con financiamiento del CFI,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL",2025-12-05,09:57:23,3,Finanzas,2025-12-05,Viernes
8845,Alerta por riesgo extremo de incendios forestales en Córdoba,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL",2025-12-05,09:50:33,4,Clima,2025-12-05,Viernes
8841,Colapinto finalizó 10° en la primera práctica libre en Abu Dabi,Francis Dinatale,"DEPORTES, DESTACADAS",2025-12-05,09:35:36,3,Deportes,2025-12-05,Viernes
8835,Hoy se realizara el sorteo del Mundial 2026,Francis Dinatale,"DEPORTES, DESTACADAS",2025-12-05,09:07:47,4,Deportes,2025-12-05,Viernes
8831,Javier Milei avanza con las sesiones extraordinarias en el Congreso: este viernes firmaría el decreto,Francis Dinatale,"DESTACADAS, POLITICA",2025-12-05,08:52:47,3,Política,2025-12-05,Viernes
8827,¡Cuidando a nuestros amigos! Jornada Gratuita de Castración de Mascotas en La Cumbrecita,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-12-05,06:43:56,7,Interés general,2025-12-05,Viernes
8824,Embalse se prepara para celebrar su 114° Aniversario con un gran Desfile Cívico Militar,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-12-05,06:39:26,9,Eventos locales,2025-12-05,Viernes
8821,Almafuerte se prepara para encender la Navidad con &#8220;Música para Iluminar&#8221;,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-12-05,06:33:18,7,Eventos locales,2025-12-05,Viernes
8815,"Bombazo: el plantel de Gimnasia no se entrenó por falta de pago, a días del clásico ante Estudiantes",Francis Dinatale,"DEPORTES, DESTACADAS",2025-12-04,11:25:55,3,Deportes,2025-12-04,Jueves
8811,El Gobierno designó a las nuevas autoridades de las Fuerzas Armadas,Francis Dinatale,Sin Categoria,2025-12-04,09:23:52,8,Política,2025-12-04,Jueves
8808,Diputados ratificó a Martín Menem como presidente de la Cámara: su discurso,Francis Dinatale,"DESTACADAS, POLITICA",2025-12-04,09:06:13,8,Política,2025-12-04,Jueves
8804,Designaron los árbitros de las semifinales del Clausura,Francis Dinatale,"DEPORTES, DESTACADAS",2025-12-04,08:58:59,5,Deportes,2025-12-04,Jueves
8801,"Villa Yacanto enciende su Verano 2026: Cultura, música y expectativas en plena apertura de temporada",Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-12-04,06:33:33,6,Eventos locales,2025-12-04,Jueves
8798,¡Cultura y resistencia artesanal en Villa Ciudad Parque! El 4° Encuentro Nacional de Artesanos abre sus puertas,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-12-04,06:28:00,8,Eventos locales,2025-12-04,Jueves
8795,Córdoba se convierte en pionera con la &#8220;Ruta del Motorhome&#8221;: Habilitan los primeros 10 puntos de asistencia gratuitos,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-12-04,06:20:21,7,Otros,2025-12-04,Jueves
8790,Malestar en Washington por la ausencia de Javier Milei,Francis Dinatale,"DESTACADAS, POLITICA",2025-12-03,11:28:16,6,Política,2025-12-03,Miércoles
8786,Inflación de noviembre: prevén que superó el 2% por tercer mes al hilo y anotó su mayor registro desde abril,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL",2025-12-03,10:51:44,8,Precios y costo de vida,2025-12-03,Miércoles
8782,Así quedó el grupo de Los Pumas tras el sorteo del Mundial de Rugby 2027,Francis Dinatale,"DEPORTES, DESTACADAS",2025-12-03,09:48:51,5,Deportes,2025-12-03,Miércoles
8778,La Libertad Avanza incorpora un diputado de Pichetto y se convierte en la primera minoría,Francis Dinatale,"DESTACADAS, POLITICA",2025-12-03,09:42:07,4,Política,2025-12-03,Miércoles
8775,"El Gobierno aumentó por decreto el Salario Mínimo, Vital y Móvil: de cuánto fue el incremento",Francis Dinatale,"DESTACADAS, INTERÉS GENERAL",2025-12-03,09:38:02,4,Política,2025-12-03,Miércoles
8772,Última jornada clave para el plan estratégico productivo de Los Reartes,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-12-03,06:49:23,7,Eventos locales,2025-12-03,Miércoles
